127.0.0.1 - - [20/Apr/2018:15:26:43 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:08 +0800] "GET /00.02_AssetsManagementSystem/ HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:09 +0800] "POST /00.02_AssetsManagementSystem/userController/rememberUser.ajax HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:22 +0800] "POST /00.02_AssetsManagementSystem/userController/login.ajax HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:25 +0800] "POST /00.02_AssetsManagementSystem/userController/login.ajax HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:25 +0800] "GET /00.02_AssetsManagementSystem/indexController/entryIndex.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:25 +0800] "GET /00.02_AssetsManagementSystem/indexController/entryIndex.do HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:25 +0800] "GET /00.02_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:26 +0800] "POST /00.02_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:27:26 +0800] "POST /00.02_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:28:44 +0800] "POST /00.02_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:35 +0800] "GET /00.02_AssetsManagementSystem/indexController/entryIndex.do HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:35 +0800] "GET /00.02_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:35 +0800] "POST /00.02_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:35 +0800] "POST /00.02_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:39 +0800] "GET /00.02_AssetsManagementSystem/indexController/entryIndex.do HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:39 +0800] "GET /00.02_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:40 +0800] "POST /00.02_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:40 +0800] "POST /00.02_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:42 +0800] "GET /00.02_AssetsManagementSystem/indexController/exitLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:42 +0800] "GET /00.02_AssetsManagementSystem/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:42 +0800] "GET /00.02_AssetsManagementSystem/ HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:42 +0800] "POST /00.02_AssetsManagementSystem/userController/rememberUser.ajax HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "POST /00.02_AssetsManagementSystem/userController/login.ajax HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "GET /00.02_AssetsManagementSystem/indexController/entryIndex.do HTTP/1.1" 200 7333
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "GET /00.02_AssetsManagementSystem/images/property.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "GET /00.02_AssetsManagementSystem/images/processmmt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "GET /00.02_AssetsManagementSystem/images/gold.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "GET /00.02_AssetsManagementSystem/indexController/showWelcome.do HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "POST /00.02_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:31:51 +0800] "POST /00.02_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:35:47 +0800] "POST /00.02_AssetsManagementSystem/indexController/OnlineNum.ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Apr/2018:15:35:52 +0800] "POST /00.02_AssetsManagementSystem/indexController/getServerTime.ajax HTTP/1.1" 200 19
