127.0.0.1 - - [14/May/2018:21:14:47 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:54 +0800] "GET /00.08_AssetsManagementSystem/ HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:54 +0800] "GET /00.08_AssetsManagementSystem/css/font.css HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:54 +0800] "GET /00.08_AssetsManagementSystem/css/xadmin.css HTTP/1.1" 200 8706
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:54 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/layui.js HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:54 +0800] "GET /00.08_AssetsManagementSystem/js/xadmin.js HTTP/1.1" 200 5956
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:54 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/css/layui.css HTTP/1.1" 200 50971
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:55 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/lay/modules/layer.js HTTP/1.1" 200 21834
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:55 +0800] "GET /00.08_AssetsManagementSystem/images/bg.png HTTP/1.1" 200 28211
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:55 +0800] "GET /00.08_AssetsManagementSystem/images/aiwrap.png HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:56 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/lay/modules/form.js HTTP/1.1" 200 7329
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:56 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/css/modules/layer/default/layer.css?v=3.0.3 HTTP/1.1" 200 14364
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:56 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/font/iconfont.eot?v=2.0.0 HTTP/1.1" 200 33168
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:56 +0800] "POST /00.08_AssetsManagementSystem/userController/rememberUser.ajax HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [14/May/2018:21:14:56 +0800] "GET /00.08_AssetsManagementSystem/lib/layui/lay/modules/element.js HTTP/1.1" 200 6959
0:0:0:0:0:0:0:1 - - [14/May/2018:21:15:15 +0800] "GET /00.08_AssetsManagementSystem/ HTTP/1.1" 200 4259
